HouseWeb,Address,Price,PropertyType,Bedroom,BedroomPlus,Bathroom,SquareFootage,Style,DatePosted,BuildingAge,City,Region,HouseAddress,Lat_Long
https://www.zolo.ca/markham-real-estate/60-inverlochy-boulevard/401,"401 - 60 Inverlochy Boulevard, Markham Royal, Orchard",,Condo Apt,3,,2,1000-1199,Apartment,2024-01-09,0,markham,york region,"60 inverlochy boulevard/401, markham","(43.82084821528795, -79.42443227368614)"
https://www.zolo.ca/markham-real-estate/54-monkhouse-road,"54 Monkhouse Road, Markham, Wismer",1258000,Semi-Detached,3,1,4,,2-Storey,2024-01-09,0,markham,york region,"54 monkhouse road, markham","(43.89362320950889, -79.27344812977753)"
https://www.zolo.ca/markham-real-estate/51-times-avenue/812,"812 - 51 Times Avenue, Markham Commerce, Valley",569000,Condo Apt,1,,1,600-699,Apartment,2024-01-09,0,markham,york region,"51 times avenue/812, markham","(43.840312587022936, -79.39152039559163)"
https://www.zolo.ca/markham-real-estate/251-calvert-road,"251 Calvert Road, Markham, Cachet",4600000,Detached,4,2,7,3500-5000,2-Storey,2024-01-09,0,markham,york region,"251 calvert road, markham","(43.87292409961714, -79.35506230190167)"
https://www.zolo.ca/markham-real-estate/28-prince-regent-street/318,"318 - 28 Prince Regent Street, Markham, Cathedraltown",738800,Condo Apt,2,,1,700-799,Apartment,2024-01-09,10,markham,york region,"28 prince regent street/318, markham","(43.895488602060595, -79.37314726383106)"
https://www.zolo.ca/markham-real-estate/7161-yonge-street/1822,"1822 - 7161 Yonge Street, Markham, Grandview",579900,Condo Apt,1,,1,500-599,Apartment,2024-01-09,10,markham,york region,"7161 yonge street/1822, markham","(43.80214500418032, -79.4206681286081)"
https://www.zolo.ca/markham-real-estate/26-billingsley-crescent,"26 Billingsley Crescent, Markham, Cedarwood",1039000,Att/Row/Twnhouse,3,,3,,2-Storey,2024-01-09,0,markham,york region,"26 billingsley crescent, markham","(43.839579589590244, -79.2483242970185)"
https://www.zolo.ca/markham-real-estate/11-royal-aberdeen-road,"11 Royal Aberdeen Road, Markham Angus, Glen",1879000,Att/Row/Twnhouse,3,,3,2000-2500,3-Storey,2024-01-08,0,markham,york region,"11 royal aberdeen road, markham","(43.88117868168334, -79.31679002908841)"
https://www.zolo.ca/markham-real-estate/8119-birchmount-road-north,"8119 Birchmount Road NMarkham, Unionville",899900,Condo Apt,2,,2,800-899,Apartment,2024-01-08,0,markham,york region,"8119 birchmount road north, markham","(43.85083849721161, -79.3249617141322)"
https://www.zolo.ca/markham-real-estate/15-multiflora-place,"15 Multiflora Place, Markham Bayview, Glen",2180000,Detached,4,2,4,,2-Storey,2024-01-08,0,markham,york region,"15 multiflora place, markham","(43.81518548532165, -79.39281003521421)"
https://www.zolo.ca/markham-real-estate/1-grandview-avenue/2101,"2101 - 1 Grandview Avenue, Markham, Thornhill",949900,Condo Apt,2,1,2,900-999,Apartment,2024-01-08,5,markham,york region,"1 grandview avenue/2101, markham","(43.80082844355419, -79.42073024617882)"
https://www.zolo.ca/markham-real-estate/76-highland-park-boulevard,"76 Highland Park Boulevard, Markham, Grandview",1688000,Detached,3,1,3,,Bungalow,2024-01-08,0,markham,york region,"76 highland park boulevard, markham","(43.800760104228175, -79.41364367465192)"
https://www.zolo.ca/markham-real-estate/16-paul-street,"16 Paul Street, Markham, Thornhill",3000000,Detached,4,1,5,,2-Storey,2024-01-08,0,markham,york region,"16 paul street, markham","(43.81470381925567, -79.41894724006715)"
https://www.zolo.ca/markham-real-estate/39-galleria-parkway/uph2,"Uph2 - 39 Galleria Parkway, Markham Commerce, Valley",998000,Condo Apt,2,,2,1200-1399,Apartment,2024-01-08,0,markham,york region,"39 galleria parkway/uph2, markham","(43.83940159987631, -79.39280358114875)"
https://www.zolo.ca/markham-real-estate/25-times-avenue/901,"901 - 25 Times Avenue, Markham Commerce, Valley",638800,Condo Apt,1,1,2,700-799,Apartment,2024-01-08,30,markham,york region,"25 times avenue/901, markham","(43.83958751048874, -79.3913753886667)"
https://www.zolo.ca/markham-real-estate/344-steeles-avenue-east,"344 Steeles Avenue EMarkham Bayview, Glen",3790000,Detached,6,,4,,Sidesplit 3,2024-01-07,0,markham,york region,"344 steeles avenue east, markham","(28.96141705271145, -96.06372196965945)"
https://www.zolo.ca/markham-real-estate/338-steeles-avenue-east,"338 Steeles Avenue EMarkham Bayview, Glen",3790000,Detached,5,,5,,2-Storey,2024-01-07,0,markham,york region,"338 steeles avenue east, markham","(28.96137095538355, -96.06368888486556)"
https://www.zolo.ca/markham-real-estate/180-enterprise-boulevard/1203,"1203 - 180 Enterprise Boulevard, Markham, Unionville",659000,Condo Apt,1,,1,500-599,Apartment,2024-01-06,10,markham,york region,"180 enterprise boulevard/1203, markham","(43.84993689779654, -79.32333872622034)"
https://www.zolo.ca/markham-real-estate/2-westmeath-lane/2123,"2123 - 2 Westmeath Lane, Markham, Cornell",739000,Condo Townhouse,2,,2,1000-1199,Stacked Townhse,2024-01-05,0,markham,york region,"2 westmeath lane/2123, markham","(43.878649693857255, -79.22826556452935)"
https://www.zolo.ca/markham-real-estate/51-times-avenue/807,"807 - 51 Times Avenue, Markham Commerce, Valley",723000,Condo Apt,2,,2,900-999,Apartment,2024-01-05,0,markham,york region,"51 times avenue/807, markham","(43.840312587022936, -79.39152039559163)"
https://www.zolo.ca/markham-real-estate/278-buchanan-drive-south/327e,"327E - 278 Buchanan Drive SMarkham, Unionville",728888,Condo Apt,1,1,2,600-699,Apartment,2024-01-05,5,markham,york region,"278 buchanan drive south/327e, markham","(43.85857231163354, -79.32517939215766)"
